"0x230A 'Objects\TC2.A0013'"	"0x1100"	"A0013"	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "
"0x230A 'Objects\TC2.A0014'"	"0x1100"	"A0014"	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "
"0x230A 'Objects\TC2.A0015'"	"0x1100"	"A0015"	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "
"0x230A 'Objects\TC2.A0017'"	"0x1100"	"A0017"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"
"0x230A 'Objects\TC2.A0018'"	"0x1100"	"A0018"	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "
"0x230A 'Objects\TC2.A0198'"	"0x1100"	"A0198"	"A0198:Current system setpoint "	"A0198:Current system setpoint "	"A0198:Current system setpoint "	"A0198:Current system setpoint "	"A0198:Current system setpoint "	"A0198:Current system setpoint "	"A0198:Current system setpoint "	"A0198:Current system setpoint "
"0x230A 'Objects\TC2.A0204'"	"0x1100"	"A0204"	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "
"0x230A 'Objects\TC2.A0205'"	"0x1100"	"A0205"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"
"0x230A 'Objects\TC2.A0206'"	"0x1100"	"A0206"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"
"0x230A 'Objects\TC2.A0207'"	"0x1100"	"A0207"	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "
"0x230B 'Objects\TC2.IR001'"	"0x1100"	"IR001"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"
