"0x2204 'IO\IO.M1.Alm.C4.Val'"	"0x010D"	"IO.M1.Alm.C4.Val"	"C4-Crp gr.sanitarne vode-motnja"	"C4-Crp gr.sanitarne vode-motnja"	"C4-Crp gr.sanitarne vode-motnja"	"C4-Crp gr.sanitarne vode-motnja"	"C4-Crp gr.sanitarne vode-motnja"	"C4-Crp gr.sanitarne vode-motnja"	"C4-Crp gr.sanitarne vode-motnja"	"C4-Crp gr.sanitarne vode-motnja"
"0x2204 'IO\IO.M1.Alm.C5.Val'"	"0x010D"	"IO.M1.Alm.C5.Val"	"C5-Crp grelnik zraka-motnja"	"C5-Crp grelnik zraka-motnja"	"C5-Crp grelnik zraka-motnja"	"C5-Crp grelnik zraka-motnja"	"C5-Crp grelnik zraka-motnja"	"C5-Crp grelnik zraka-motnja"	"C5-Crp grelnik zraka-motnja"	"C5-Crp grelnik zraka-motnja"
"0x2204 'IO\IO.M1.Alm.C1.Val'"	"0x010D"	"IO.M1.Alm.C1.Val"	"C1-Crp hladilna greda-motnja"	"C1-Crp hladilna greda-motnja"	"C1-Crp hladilna greda-motnja"	"C1-Crp hladilna greda-motnja"	"C1-Crp hladilna greda-motnja"	"C1-Crp hladilna greda-motnja"	"C1-Crp hladilna greda-motnja"	"C1-Crp hladilna greda-motnja"
"0x2206 'IO\IO.M1.AO.M3.Cmd'"	"0x010D"	"IO.M1.AO.M3.Cmd"	"M3-RV-grelnik zraka dovod iz TP"	"M3-RV-grelnik zraka dovod iz TP"	"M3-RV-grelnik zraka dovod iz TP"	"M3-RV-grelnik zraka dovod iz TP"	"M3-RV-grelnik zraka dovod iz TP"	"M3-RV-grelnik zraka dovod iz TP"	"M3-RV-grelnik zraka dovod iz TP"	"M3-RV-grelnik zraka dovod iz TP"
"0x2206 'IO\IO.M1.AO.M4.Cmd'"	"0x010D"	"IO.M1.AO.M4.Cmd"	"M4-RV-grelnik zraka povratek iz TP"	"M4-RV-grelnik zraka povratek iz TP"	"M4-RV-grelnik zraka povratek iz TP"	"M4-RV-grelnik zraka povratek iz TP"	"M4-RV-grelnik zraka povratek iz TP"	"M4-RV-grelnik zraka povratek iz TP"	"M4-RV-grelnik zraka povratek iz TP"	"M4-RV-grelnik zraka povratek iz TP"
"0x2203 'IO\IO.M2.AI.BOZ.Val'"	"0x010D"	"IO.M2.AI.BOZ.Val"	"BOZ-T.topli akum.zgoraj"	"BOZ-T.topli akum.zgoraj"	"BOZ-T.topli akum.zgoraj"	"BOZ-T.topli akum.zgoraj"	"BOZ-T.topli akum.zgoraj"	"BOZ-T.topli akum.zgoraj"	"BOZ-T.topli akum.zgoraj"	"BOZ-T.topli akum.zgoraj"
"0x2203 'IO\IO.M2.AI.BOS.Val'"	"0x010D"	"IO.M2.AI.BOS.Val"	"BOS-T.topli akum.spodaj"	"BOS-T.topli akum.spodaj"	"BOS-T.topli akum.spodaj"	"BOS-T.topli akum.spodaj"	"BOS-T.topli akum.spodaj"	"BOS-T.topli akum.spodaj"	"BOS-T.topli akum.spodaj"	"BOS-T.topli akum.spodaj"
"0x2203 'IO\IO.M2.AI.BHZ.Val'"	"0x010D"	"IO.M2.AI.BHZ.Val"	"BHZ-T.hlad.akum.zgoraj"	"BHZ-T.hlad.akum.zgoraj"	"BHZ-T.hlad.akum.zgoraj"	"BHZ-T.hlad.akum.zgoraj"	"BHZ-T.hlad.akum.zgoraj"	"BHZ-T.hlad.akum.zgoraj"	"BHZ-T.hlad.akum.zgoraj"	"BHZ-T.hlad.akum.zgoraj"
"0x2203 'IO\IO.M2.AI.BHS.Val'"	"0x010D"	"IO.M2.AI.BHS.Val"	"BHS-T.hlad.akum. spodaj"	"BHS-T.hlad.akum. spodaj"	"BHS-T.hlad.akum. spodaj"	"BHS-T.hlad.akum. spodaj"	"BHS-T.hlad.akum. spodaj"	"BHS-T.hlad.akum. spodaj"	"BHS-T.hlad.akum. spodaj"	"BHS-T.hlad.akum. spodaj"
"0x2203 'IO\IO.M2.AI.BHZ2.Val'"	"0x010D"	"IO.M2.AI.BHZ2.Val"	"BHZ2-T.hlad.akum.2 zgoraj"	"BHZ2-T.hlad.akum.2 zgoraj"	"BHZ2-T.hlad.akum.2 zgoraj"	"BHZ2-T.hlad.akum.2 zgoraj"	"BHZ2-T.hlad.akum.2 zgoraj"	"BHZ2-T.hlad.akum.2 zgoraj"	"BHZ2-T.hlad.akum.2 zgoraj"	"BHZ2-T.hlad.akum.2 zgoraj"
