"Member"	"ID"	"Name"	"Desc"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"0x0019 0x00000001"	"0x1101"	"Last*Previous*Factory*OEMFactory*ApplicDefault*Application"	"Last*Previous*Factory*OEMFactory*ApplicDefault*Application"	"Last*Previous*Factory*OEMFactory*ApplicDefault*Application"	"Last*Previous*Factory*OEMFactory*ApplicDefault*Application"	"Last*Previous*Factory*OEMFactory*ApplicDefault*Application"	"Last*Previous*Factory*OEMFactory*ApplicDefault*Application"	"Last*Previous*Factory*OEMFactory*ApplicDefault*Application"	"Last*Previous*Factory*OEMFactory*ApplicDefault*Application"	
"0x0010 0x00000001"	"0x1100"	"SystemClock"	"SystemClock"	"SystemClock"	"SystemClock"	"SystemClock"	"SystemClock"	"SystemClock"	"SystemClock"	
"0x0024 0x00000001"	"0x1100"	"Target"	"Target"	"Target"	"Target"	"Target"	"Target"	"Target"	"Target"	
"0x0024 0x00000001"	"0x1200"	"NoFiles*FilesAvailable*Active*Busy"	"NoFiles*FilesAvailable*Active*Busy"	"NoFiles*FilesAvailable*Active*Busy"	"NoFiles*FilesAvailable*Active*Busy"	"NoFiles*FilesAvailable*Active*Busy"	"NoFiles*FilesAvailable*Active*Busy"	"NoFiles*FilesAvailable*Active*Busy"	"NoFiles*FilesAvailable*Active*Busy"	
"0x0024 0x00000001"	"0x1201"	"NoCard*ReadOnly*ReadWrite"	"NoCard*ReadOnly*ReadWrite"	"NoCard*ReadOnly*ReadWrite"	"NoCard*ReadOnly*ReadWrite"	"NoCard*ReadOnly*ReadWrite"	"NoCard*ReadOnly*ReadWrite"	"NoCard*ReadOnly*ReadWrite"	"NoCard*ReadOnly*ReadWrite"	
"0x0024 0x00000001"	"0x1202"	"None*Active*Finished*Error"	"None*Active*Finished*Error"	"None*Active*Finished*Error"	"None*Active*Finished*Error"	"None*Active*Finished*Error"	"None*Active*Finished*Error"	"None*Active*Finished*Error"	"None*Active*Finished*Error"	
"0x0024 0x00000001"	"0x1103"	"1Polarization#2Polarization#2Termination"	"1Polarization#2Polarization#2Termination"	"1Polarization#2Polarization#2Termination"	"1Polarization#2Polarization#2Termination"	"1Polarization#2Polarization#2Termination"	"1Polarization#2Polarization#2Termination"	"1Polarization#2Polarization#2Termination"	"1Polarization#2Polarization#2Termination"	
"0x0024 0x00000001"	"0x1102"	"°C"	"°C"	"°C"	"°C"	"°C"	"°C"	"°C"	"°C"	
"0x0023 0x00000001"	"0x1100"	"ProcessBus"	"ProcessBus"	"ProcessBus"	"ProcessBus"	"ProcessBus"	"ProcessBus"	"ProcessBus"	"ProcessBus"	
"0x0023 0x00000001"	"0x1200"	"OK*Init*DAA*DoubleID*BufferOverflow*Hardware"	"OK*Init*DAA*DoubleID*BufferOverflow*Hardware"	"OK*Init*DAA*DoubleID*BufferOverflow*Hardware"	"OK*Init*DAA*DoubleID*BufferOverflow*Hardware"	"OK*Init*DAA*DoubleID*BufferOverflow*Hardware"	"OK*Init*DAA*DoubleID*BufferOverflow*Hardware"	"OK*Init*DAA*DoubleID*BufferOverflow*Hardware"	"OK*Init*DAA*DoubleID*BufferOverflow*Hardware"	
