"0x2206 'Room1\Room1.Vlv2.Cmd'"	"0x8100"	"Room1.Vlv2.Cmd"	"Room1.Vlv2.Cmd"	"Room1.Vlv2.Cmd"	"Room1.Vlv2.Cmd"	"Room1.Vlv2.Cmd"	"Room1.Vlv2.Cmd"	"Room1.Vlv2.Cmd"	"Room1.Vlv2.Cmd"	
"0x2310 'Room1\Room1.Vlv2.Pos'"	"0x8100"	"Room1.Vlv2.Pos"	"Room1.Vlv2.Pos"	"Room1.Vlv2.Pos"	"Room1.Vlv2.Pos"	"Room1.Vlv2.Pos"	"Room1.Vlv2.Pos"	"Room1.Vlv2.Pos"	"Room1.Vlv2.Pos"	
"0x2304 'Room1\Room1.Vlv.RefIO'"	"0x8100"	"Room1.Vlv.RefIO"	"Room1.Vlv.RefIO"	"Room1.Vlv.RefIO"	"Room1.Vlv.RefIO"	"Room1.Vlv.RefIO"	"Room1.Vlv.RefIO"	"Room1.Vlv.RefIO"	"Room1.Vlv.RefIO"	
"0x2206 'Room1\Room1.Vlv.Cmd'"	"0x8100"	"Room1.Vlv.Cmd"	"Room1.Vlv.Cmd"	"Room1.Vlv.Cmd"	"Room1.Vlv.Cmd"	"Room1.Vlv.Cmd"	"Room1.Vlv.Cmd"	"Room1.Vlv.Cmd"	"Room1.Vlv.Cmd"	
"0x2310 'Room1\Room1.Vlv.Pos'"	"0x8100"	"Room1.Vlv.Pos"	"Room1.Vlv.Pos"	"Room1.Vlv.Pos"	"Room1.Vlv.Pos"	"Room1.Vlv.Pos"	"Room1.Vlv.Pos"	"Room1.Vlv.Pos"	"Room1.Vlv.Pos"	
"0x2304 'Room1\Room1.Ime'"	"0x8100"	"Room1.Ime"	"Room1.Ime"	"Room1.Ime"	"Room1.Ime"	"Room1.Ime"	"Room1.Ime"	"Room1.Ime"	"Room1.Ime"	
"0x2300 'Room2\Room2.TR.SpTiCom'"	"0x8100"	"Room2.TR.SpTiCom"	"Room2.TR.SpTiCom"	"Room2.TR.SpTiCom"	"Room2.TR.SpTiCom"	"Room2.TR.SpTiCom"	"Room2.TR.SpTiCom"	"Room2.TR.SpTiCom"	"Room2.TR.SpTiCom"	
"0x2203 'Room2\Room2.TR.Val'"	"0x8100"	"Room2.TR.Val"	"Room2.TR.Val"	"Room2.TR.Val"	"Room2.TR.Val"	"Room2.TR.Val"	"Room2.TR.Val"	"Room2.TR.Val"	"Room2.TR.Val"	
"0x2304 'Room2\Room2.CndMon.RefIO'"	"0x8100"	"Room2.CndMon.RefIO"	"Room2.CndMon.RefIO"	"Room2.CndMon.RefIO"	"Room2.CndMon.RefIO"	"Room2.CndMon.RefIO"	"Room2.CndMon.RefIO"	"Room2.CndMon.RefIO"	"Room2.CndMon.RefIO"	
"0x2204 'Room2\Room2.CndMon.Val'"	"0x8100"	"Room2.CndMon.Val"	"Room2.CndMon.Val"	"Room2.CndMon.Val"	"Room2.CndMon.Val"	"Room2.CndMon.Val"	"Room2.CndMon.Val"	"Room2.CndMon.Val"	"Room2.CndMon.Val"	
"0x2302 'Room2\Room2.OpModMan'"	"0x8100"	"Room2.OpModMan"	"Room2.OpModMan"	"Room2.OpModMan"	"Room2.OpModMan"	"Room2.OpModMan"	"Room2.OpModMan"	"Room2.OpModMan"	"Room2.OpModMan"	
"0x2302 'Room2\Room2.ShedSel'"	"0x8100"	"Room2.ShedSel"	"Room2.ShedSel"	"Room2.ShedSel"	"Room2.ShedSel"	"Room2.ShedSel"	"Room2.ShedSel"	"Room2.ShedSel"	"Room2.ShedSel"	
"0x2300 'Room2\Room2.SpTRPrt'"	"0x8100"	"Room2.SpTRPrt"	"Room2.SpTRPrt"	"Room2.SpTRPrt"	"Room2.SpTRPrt"	"Room2.SpTRPrt"	"Room2.SpTRPrt"	"Room2.SpTRPrt"	"Room2.SpTRPrt"	
"0x2300 'Room2\Room2.SpTREco'"	"0x8100"	"Room2.SpTREco"	"Room2.SpTREco"	"Room2.SpTREco"	"Room2.SpTREco"	"Room2.SpTREco"	"Room2.SpTREco"	"Room2.SpTREco"	"Room2.SpTREco"	
"0x2300 'Room2\Room2.SpTRCmf'"	"0x8100"	"Room2.SpTRCmf"	"Room2.SpTRCmf"	"Room2.SpTRCmf"	"Room2.SpTRCmf"	"Room2.SpTRCmf"	"Room2.SpTRCmf"	"Room2.SpTRCmf"	"Room2.SpTRCmf"	
"0x2202 'Room2\Room2.PltMod'"	"0x8100"	"Room2.PltMod"	"Room2.PltMod"	"Room2.PltMod"	"Room2.PltMod"	"Room2.PltMod"	"Room2.PltMod"	"Room2.PltMod"	"Room2.PltMod"	
"0x2202 'Room2\Room2.VlvCtl.AggrMod'"	"0x8100"	"Room2.VlvCtl.AggrMod"	"Room2.VlvCtl.AggrMod"	"Room2.VlvCtl.AggrMod"	"Room2.VlvCtl.AggrMod"	"Room2.VlvCtl.AggrMod"	"Room2.VlvCtl.AggrMod"	"Room2.VlvCtl.AggrMod"	"Room2.VlvCtl.AggrMod"	
"0x2300 'Room2\Room2.VlvCtl.Low'"	"0x8100"	"Room2.VlvCtl.Low"	"Room2.VlvCtl.Low"	"Room2.VlvCtl.Low"	"Room2.VlvCtl.Low"	"Room2.VlvCtl.Low"	"Room2.VlvCtl.Low"	"Room2.VlvCtl.Low"	"Room2.VlvCtl.Low"	
"0x2300 'Room2\Room2.VlvCtl.High'"	"0x8100"	"Room2.VlvCtl.High"	"Room2.VlvCtl.High"	"Room2.VlvCtl.High"	"Room2.VlvCtl.High"	"Room2.VlvCtl.High"	"Room2.VlvCtl.High"	"Room2.VlvCtl.High"	"Room2.VlvCtl.High"	
"0x2300 'Room2\Room2.VlvCtl.TiDly'"	"0x8100"	"Room2.VlvCtl.TiDly"	"Room2.VlvCtl.TiDly"	"Room2.VlvCtl.TiDly"	"Room2.VlvCtl.TiDly"	"Room2.VlvCtl.TiDly"	"Room2.VlvCtl.TiDly"	"Room2.VlvCtl.TiDly"	"Room2.VlvCtl.TiDly"	
